Player,Age,Position,CM,KG,Start,Sub,Game,Mins,Goals,Assists,G+A,Yel,Red,Yel+Red,SpG,PS%,AerialsWon,MotM,Rating,Team,Season,Nationality,Country
M.Braithwaite,30,Forward,180,77,3,1,4,237,2,1,3,0,0,0,1.8,81.5,0.8,1,6.93,Barcelona,2021/2022,DEN,Denmark
M.Braithwaite,31,Forward,180,77,29,2,31,2468,10,2,12,5,1,6,1.9,68.9,1.5,2,6.56,Espanyol,2022/2023,DEN,Denmark
M.Brito,31,Defender,179,78,20,4,24,1827,0,2,2,1,0,1,0.3,76.1,0.8,0,6.9,Valencia,2010/2011,PRT,Portugal
M.Brito,32,Defender,179,78,11,0,11,925,0,2,2,3,0,3,0.2,75.8,0.9,0,7.07,Valencia,2011/2012,PRT,Portugal
M.Bueno,18,Midfielder,178,0,2,0,2,150,0,0,0,0,0,0,0.5,78.8,0.5,0,6.52,Sevilla,2022/2023,ESP,Spain
M.Caceres,23,Defender,180,77,24,1,25,2128,1,2,3,6,0,6,0.6,79.7,1,0,6.97,Sevilla,2010/2011,URY,Uruguay
M.Caceres,24,Defender,180,77,13,1,14,1173,1,0,1,3,0,3,0.5,76,2.1,1,7.04,Sevilla,2011/2012,URY,Uruguay
M.Caceres,34,Defender,180,77,9,1,10,670,0,0,0,2,0,2,0,82,0.7,0,6.09,Levante,2021/2022,URY,Uruguay
M.Calderon,23,Midfielder,183,77,1,5,6,111,0,0,0,1,0,1,0.3,75.6,1,0,6.22,Cadiz,2021/2022,ESP,Spain
M.Carcela,27,Forward,175,68,20,2,22,1753,5,1,6,6,0,6,1.4,77.8,0.5,1,6.87,Granada,2016/2017,MAR,Morocco
M.Cardona,24,Forward,183,70,9,10,19,703,1,2,3,1,0,1,0.6,74.4,0.6,0,6.21,Osasuna,2019/2020,ESP,Spain
M.Cardona,25,Forward,183,70,0,3,3,51,0,0,0,0,0,0,0.3,66.7,0.3,0,6.06,Osasuna,2020/2021,ESP,Spain
M.Cardoso,21,Midfielder,176,73,0,3,3,41,0,1,1,0,0,0,1.3,80,0,0,6.35,Deportivo La Coruna,2015/2016,PRT,Portugal
M.Ciani,31,Defender,189,88,2,0,2,136,0,0,0,0,0,0,0,77.6,2,0,5.7,Espanyol,2015/2016,FRA,France
M.Ciani,32,Defender,189,88,0,1,1,53,0,0,0,0,0,0,0,66.7,0,0,5.87,Espanyol,2016/2017,FRA,France
M.Contini,30,Defender,184,76,24,0,24,2048,0,0,0,10,1,11,0.1,68.5,1,0,6.8,Real Zaragoza,2010/2011,ITA,Italy
M.Crespi,23,Defender,183,74,3,2,5,277,0,0,0,3,0,3,0.4,79.7,1.4,0,6.36,Mallorca,2010/2011,ESP,Spain
M.Crespi,24,Defender,183,74,5,3,8,505,0,0,0,1,0,1,0.1,70,1,0,6.72,Mallorca,2011/2012,ESP,Spain
M.Cucurella,21,Defender,172,66,37,0,37,3250,1,5,6,9,0,9,0.8,67.9,1.5,1,6.82,Getafe,2019/2020,ESP,Spain
M.Cucurella,22,Defender,172,66,37,0,37,3250,3,2,5,8,0,8,0.7,73,1.9,1,6.7,Getafe,2020/2021,ESP,Spain
M.Cucurella,23,Defender,172,66,0,1,1,22,0,0,0,0,0,0,1,78.9,0,0,6.29,Getafe,2021/2022,ESP,Spain
M.Cuero,23,Forward,176,76,5,8,13,480,0,1,1,1,0,1,0.8,65.3,0.1,0,6.44,Levante,2015/2016,COL,Colombia
M.Cunha,22,Forward,183,76,8,21,29,1053,6,4,10,3,0,3,1.3,71,0.7,0,6.53,Atletico Madrid,2021/2022,BRA,Brazil
M.Cunha,23,Forward,183,76,2,9,11,372,0,2,2,2,0,2,1.1,78.5,0.3,0,6.42,Atletico Madrid,2022/2023,BRA,Brazil
M.Dabbur,27,Forward,183,78,0,2,2,24,0,0,0,0,0,0,1,75,0,0,6.26,Sevilla,2019/2020,ISR,Israel
M.Dabo,24,Defender,176,65,21,3,24,1956,0,2,2,6,1,7,0.3,80.9,0.3,0,6.83,Sevilla,2010/2011,FRA,France
M.de la Fuente,19,Forward,180,77,0,2,2,11,0,0,0,0,0,0,1,66.7,0.5,0,6.17,Real Valladolid,2018/2019,ESP,Spain
M.de la Fuente,20,Forward,180,77,2,5,7,231,0,0,0,1,0,1,0.3,53.1,1.6,0,6.19,Real Valladolid,2019/2020,ESP,Spain
M.de la Fuente,22,Forward,180,77,10,12,22,828,1,1,2,2,0,2,1,66.4,0.6,0,6.19,Deportivo Alaves,2021/2022,ESP,Spain
M.De las Cuevas,24,Midfielder,175,69,30,7,37,2505,6,4,10,5,0,5,1.4,78,0.6,1,6.95,Sporting Gijon,2010/2011,ESP,Spain
M.De las Cuevas,25,Midfielder,175,69,34,1,35,2919,3,5,8,4,0,4,1.5,76.6,0.7,0,6.87,Sporting Gijon,2011/2012,ESP,Spain
M.De las Cuevas,26,Midfielder,175,69,15,1,16,1143,1,1,2,1,0,1,1.6,74.1,1.2,0,6.91,Osasuna,2012/2013,ESP,Spain
M.De las Cuevas,27,Midfielder,175,69,21,3,24,1621,0,0,0,2,1,3,1.5,79.2,1.1,0,6.39,Osasuna,2013/2014,ESP,Spain
M.De las Cuevas,30,Midfielder,175,69,20,8,28,1797,0,1,1,3,0,3,0.8,80.9,0.6,0,6.51,Osasuna,2016/2017,ESP,Spain
M.del Moral,27,Midfielder,185,84,28,2,30,2428,9,4,13,3,1,4,2.8,75,0.7,1,6.85,Getafe,2010/2011,ESP,Spain
M.del Moral,28,Midfielder,185,84,25,9,34,2229,10,1,11,5,1,6,2.4,73.1,0.6,1,6.66,Sevilla,2011/2012,ESP,Spain
M.del Moral,29,Midfielder,185,84,7,15,22,773,1,0,1,2,0,2,0.9,75.2,0.4,0,6.32,Sevilla,2012/2013,ESP,Spain
M.del Moral,30,Midfielder,185,84,19,5,24,1447,2,1,3,3,0,3,1.3,69.7,1.9,0,6.44,Elche,2013/2014,ESP,Spain
M.del Moral,31,Midfielder,185,84,21,7,28,1701,3,1,4,2,0,2,1.7,71.5,0.9,2,6.49,Eibar,2014/2015,ESP,Spain
M.Delgado,19,Defender,173,66,1,1,2,93,0,0,0,0,0,0,0.5,84.8,0,0,6.15,Sevilla,2013/2014,ESP,Spain
M.Delgado,24,Defender,173,66,3,0,3,270,0,0,0,1,0,1,0.7,67.6,1,0,6.44,Real Valladolid,2018/2019,ESP,Spain
M.Dembele,24,Forward,183,73,0,5,5,95,0,0,0,0,0,0,1.2,64.5,1,0,6.16,Atletico Madrid,2020/2021,FRA,France
M.Demichelis,30,Defender,184,80,18,0,18,1482,1,0,1,7,2,9,0.4,81.3,2.6,2,7.28,Malaga,2010/2011,ARG,Argentina
M.Demichelis,31,Defender,184,80,33,2,35,3017,2,1,3,7,1,8,0.5,79.8,1.6,2,7.19,Malaga,2011/2012,ARG,Argentina
M.Demichelis,32,Defender,184,80,31,0,31,2728,4,0,4,9,2,11,0.5,83.4,2.5,4,7.17,Malaga,2012/2013,ARG,Argentina
M.Demichelis,36,Defender,184,80,1,1,2,98,0,0,0,0,0,0,0,71.7,2.5,0,6.58,Espanyol,2016/2017,ARG,Argentina
M.Demichelis,36,Defender,184,80,7,3,10,675,0,0,0,3,0,3,0.4,81.1,3,1,6.68,Malaga,2016/2017,ARG,Argentina
M.Depay,28,Forward,178,78,20,8,28,1850,12,2,14,3,0,3,2.2,82.1,0.4,5,7.1,Barcelona,2021/2022,NLD,Netherlands
M.Depay,29,Forward,178,78,3,5,8,269,4,0,4,1,0,1,1.4,78.6,0.1,0,6.62,Atletico Madrid,2022/2023,NLD,Netherlands
M.Depay,29,Forward,178,78,2,0,2,116,1,0,1,0,0,0,3,83.9,0.5,0,7.23,Barcelona,2022/2023,NLD,Netherlands
M.Diakhaby,22,Defender,189,78,16,6,22,1574,2,0,2,9,0,9,0.5,85.1,1.6,0,6.65,Valencia,2018/2019,GUI,Guinea
M.Diakhaby,23,Defender,189,78,15,6,21,1441,0,0,0,5,0,5,0,88.8,1.8,1,6.53,Valencia,2019/2020,GUI,Guinea
M.Diakhaby,24,Defender,189,78,24,2,26,2082,1,0,1,4,1,5,0.4,85,1.8,0,6.49,Valencia,2020/2021,GUI,Guinea
M.Diakhaby,25,Defender,189,78,21,8,29,1945,0,1,1,11,0,11,0.3,74.7,1.1,0,6.42,Valencia,2021/2022,GUI,Guinea
M.Diakhaby,26,Defender,189,78,28,1,29,2449,3,0,3,5,1,6,0.7,82.1,1.7,1,6.65,Valencia,2022/2023,GUI,Guinea
M.Diakite,28,Defender,192,84,2,0,2,180,0,0,0,0,0,0,0,90.2,1.5,0,5.32,Deportivo La Coruna,2014/2015,FRA,France
M.Diarra,22,Forward,180,0,1,1,2,66,0,0,0,0,0,0,1.5,88.9,0,0,6.06,Cadiz,2022/2023,MLI,Mali
